кто	дата	счет	статья	сумма	примечания	остаток после					счета		
В	11.03.2016	карта зарпл.В	зарплата	69 516,38		69 521,14	2016.3						
В	12.03.2016	карта зарпл.В	развлеченья	-300,00	кино	69 221,14	2016.3						
В	11.03.2016	карта зарпл.В	перевод	-65 000,00		4 221,14	2016.3						
В	11.03.2016	кошелек.В	перевод	65 000,00		65 500,00	2016.3						
В	13.03.2016	кошелек.В	аренда	-40 000,00		25 500,00	2016.3						
В	11.03.2016	карта зарпл.В	продукты	-325,50		3 895,64	2016.3						
В	11.03.2016	кошелек.В	продукты	-100,00		25 400,00	2016.3						
В	11.03.2016	карта зарпл.В	еда.обед	-300,00		3 595,64	2016.3						
В	13.03.2016	кошелек.В	продукты	-500,00	?	24 900,00	2016.3						
В	13.03.2016	кошелек.В	продукты	-1 100,00		23 800,00	2016.3						
В	13.03.2016	карта зарпл.В	связь	-550,00	инет сокол	3 045,64	2016.3						
Л	13.03.2016	кошелек.Л	транспорт	-70,00	маршрутка	24 075,00	2016.3						
Л	13.03.2016	кошелек.Л	аптека	-480,00	лекарства Варе	23 595,00	2016.3						
Л	13.03.2016	кошелек.Л	продукты	-1 195,00	продукты	22 400,00	2016.3						
Л	14.03.2016	кошелек.Л	еда.обед	-160,00	обед	22 240,00	2016.3						
В	14.03.2016	карта зарпл.В	еда.обед	-305,00		2 740,64	2016.3						
Л	14.03.2016	кошелек.Л	еда.обед	-260,00	печеньки и кофе	21 980,00	2016.3						
Л	14.03.2016	кошелек.Л	транспорт	-70,00	маршрутка	21 910,00	2016.3						
Л	14.03.2016	кошелек.Л	еда.обед	-285,00	обед с плюшкой	21 625,00	2016.3						
В	15.03.2016	карта зарпл.В	еда.обед	-300,00		2 440,64	2016.3						
В	15.03.2016	карта зарпл.В	аптека	-164,00	от насморка	2 276,64	2016.3						
Л	15.03.2016	кошелек.Л	подарки	-920,00	подарок	20 705,00	2016.3						
Л	15.03.2016	кошелек.Л	подарки	-405,00		20 300,00	2016.3						
Л	15.03.2016	кошелек.Л	сигареты	-280,00		20 020,00	2016.3						
Л	15.03.2016	кошелек.Л	продукты	-120,00		19 900,00	2016.3						
В	15.03.2016	карта зарпл.В	связь	-250,00	Варя моб	2 026,64	2016.3						
В	15.03.2016	карта зарпл.В	связь	-300,00	Лера планшет	1 726,64	2016.3						
Л	15.03.2016	кошелек.Л	отдал члену семьи	-5 000,00	маме на стоматолога	14 900,00	2016.3						
Л	15.03.2016	сбер.вклад	перевод	-10 000,00	в кошелекЛ	771 102,13	2016.3						
Л	15.03.2016	кошелек.Л	перевод	10 000,00		24 900,00	2016.3						
